name,yearkm_driven,fuel,seller_type,transmission,owner,selling_price
Maruti Ciaz 1.3 Delta,201860000,Diesel,Individual,Manual,First Owner,750000
Honda Civic 1.8 V AT,200754000,Petrol,Individual,Automatic,Second Owner,200000
Hyundai i10 Sportz 1.2,201063000,Petrol,Individual,Manual,Second Owner,248000
Skoda Rapid 1.5 TDI Elegance,2014120000,Diesel,Individual,Manual,Second Owner,450000
Hyundai Getz GLS,2005120000,Petrol,Individual,Manual,Third Owner,80000
Nissan Terrano XL,201476000,Petrol,Individual,Manual,Second Owner,650000
Hyundai Grand i10 CRDi Sportz,201580000,Diesel,Individual,Manual,First Owner,450000
Hyundai Elite i20 Diesel Era,201925000,Diesel,Individual,Manual,First Owner,650000
Honda Amaze S i-VTEC,201611958,Petrol,Dealer,Manual,First Owner,495000
Honda Brio S MT,201520000,Petrol,Dealer,Manual,First Owner,371000
Hyundai Creta 1.6 SX Option,20179000,Petrol,Dealer,Manual,First Owner,1025000
Mercedes-Benz S-Class S 350d Connoisseurs Edition,20176500,Diesel,Dealer,Automatic,First Owner,8150000
Mahindra XUV500 W8 2WD,201570000,Diesel,Individual,Manual,First Owner,750000
Renault Duster 85PS Diesel RxL Optional,2013120000,Diesel,Individual,Manual,First Owner,600000
Hyundai Santro Xing XO,200758000,Petrol,Dealer,Manual,Second Owner,80000
Mahindra Bolero 2011-2019 SLE,201362200,Diesel,Dealer,Manual,First Owner,325000
Audi A6 2.0 TDI Premium Plus,201434000,Diesel,Dealer,Automatic,Second Owner,1470000
Fiat Avventura MULTIJET Emotion,201553000,Diesel,Individual,Manual,Second Owner,350000
Audi A8 4.2 TDI,201349000,Diesel,Dealer,Automatic,First Owner,2800000
Datsun RediGO 1.0 S,201715000,Petrol,Dealer,Manual,Second Owner,210000
Volkswagen Jetta 1.4 TSI Comfortline,201350000,Petrol,Individual,Manual,First Owner,450000
Audi A4 2.0 TDI 177 Bhp Premium Plus,201353000,Diesel,Dealer,Automatic,First Owner,1150000
Honda Civic 1.8 V AT,200963500,Petrol,Dealer,Automatic,First Owner,210000
Mercedes-Benz E-Class Exclusive E 200 BSIV,20189800,Petrol,Dealer,Automatic,First Owner,4500000
BMW X1 sDrive 20d xLine,201713000,Diesel,Individual,Automatic,First Owner,2750000
Volvo V40 D3 R Design,201821000,Diesel,Dealer,Automatic,First Owner,1975000
Maruti SX4 Zxi BSIII,200829173,Petrol,Dealer,Manual,First Owner,175000
BMW 7 Series 730Ld,201248000,Diesel,Dealer,Automatic,First Owner,2500000
Mahindra Bolero Power Plus SLX,2017120000,Diesel,Individual,Manual,First Owner,628000
Hyundai Sonata CRDi M/T,2010100000,Diesel,Individual,Manual,First Owner,600000
Nissan Micra Active XV Petrol,201730000,Petrol,Individual,Manual,First Owner,399000
Mahindra Xylo D4,201887000,Diesel,Individual,Manual,First Owner,750000
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,201915000,Petrol,Individual,Manual,First Owner,750000
Renault KWID RXT,201716000,Petrol,Individual,Manual,First Owner,315000
Mahindra Xylo E4 BS III,201260000,Diesel,Individual,Manual,First Owner,600000
Maruti Wagon R LXI Minor,201060000,Petrol,Individual,Manual,Fourth & Above Owner,100000
Maruti SX4 ZXI MT BSIV,2011110000,Petrol,Individual,Manual,Third Owner,250000
Renault KWID RXT,201725000,Petrol,Individual,Manual,First Owner,350000
Hyundai Creta 1.4 CRDi S,201660000,Diesel,Individual,Manual,First Owner,780000
Maruti Swift Dzire VDI,201479350,Diesel,Individual,Manual,Second Owner,434000
Hyundai Verna 1.6 VTVT AT S Option,201680000,Petrol,Individual,Automatic,First Owner,690000
Mahindra Scorpio LX BSIV,201490000,Diesel,Individual,Manual,Second Owner,555000
Maruti SX4 Vxi BSIII,200790000,Petrol,Individual,Manual,Second Owner,120000
Maruti Ertiga VDI,2014120000,Diesel,Individual,Manual,Second Owner,500000
Chevrolet Beat Diesel,201360000,Diesel,Individual,Manual,Second Owner,165000
Maruti Zen LX,200450000,Petrol,Individual,Manual,First Owner,95000
Maruti Baleno Delta 1.2,201820000,Petrol,Individual,Manual,First Owner,550000
Maruti Swift Vdi BSIII,2007110000,Diesel,Individual,Manual,Fourth & Above Owner,100000
Tata Nano Lx BSIV,201250000,Petrol,Individual,Manual,Second Owner,100000
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012100000,Diesel,Individual,Manual,First Owner,500000
Maruti Ertiga SHVS VDI,201670000,Diesel,Individual,Manual,Second Owner,800000
Hyundai Creta 1.6 CRDi SX,201670000,Diesel,Individual,Manual,Second Owner,840000
Honda Amaze S i-Vtech,201650000,Petrol,Individual,Manual,First Owner,490000
Tata Indica Vista Aqua 1.4 TDI,201081000,Diesel,Individual,Manual,Second Owner,125000
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012120000,Diesel,Individual,Manual,Third Owner,400000
Chevrolet Cruze LTZ,20153600,Diesel,Dealer,Manual,First Owner,1000000
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,201514272,Petrol,Dealer,Manual,First Owner,530000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,201749213,Diesel,Dealer,Manual,First Owner,840000
Hyundai i10 Sportz 1.1L,201540000,Petrol,Individual,Manual,First Owner,229999
Maruti 800 Std,199840000,Petrol,Individual,Manual,Fourth & Above Owner,40000
Chevrolet Spark 1.0 LS,201280000,Petrol,Individual,Manual,First Owner,130000
Hyundai EON Era Plus,201570000,Petrol,Individual,Manual,First Owner,200000
Tata Indica Vista Aqua TDI BSIII,201170000,Diesel,Individual,Manual,First Owner,120000
Hyundai Santro LP zipPlus,200357000,Petrol,Individual,Manual,First Owner,75000
Tata Bolt Quadrajet XE,2016120000,Diesel,Individual,Manual,First Owner,250000
Maruti 800 AC BSIII,200530000,Petrol,Individual,Manual,First Owner,100000
Hyundai EON Era Plus,20133240,Petrol,Individual,Manual,Second Owner,280000
Hyundai i20 Magna 1.2,20155000,Petrol,Individual,Manual,First Owner,540000
Hyundai i20 1.2 Asta,201810000,Petrol,Individual,Manual,First Owner,700000
Maruti Ciaz VDi Plus,2015100000,Diesel,Individual,Manual,First Owner,525000
Hyundai i20 Asta 1.4 CRDi,201680000,Diesel,Individual,Manual,First Owner,430000
Hyundai Santro LE,200270000,Petrol,Individual,Manual,First Owner,65000
Maruti Vitara Brezza VDi,201835000,Diesel,Individual,Manual,First Owner,800000
Hyundai Santro Xing XL eRLX Euro III,2007114000,Petrol,Individual,Manual,Second Owner,75000
Hyundai Getz 1.3 GLS,200853772,Petrol,Individual,Manual,First Owner,210000
Mahindra Quanto C8,2012140000,Diesel,Individual,Manual,Second Owner,195000
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015120000,Diesel,Individual,Manual,First Owner,400000
Hyundai EON Magna Plus,201260000,Petrol,Individual,Manual,First Owner,170000
Renault KWID RXT,201625000,Petrol,Individual,Manual,First Owner,225000
Maruti Wagon R DUO LPG,201490000,LPG,Individual,Manual,First Owner,210000
Maruti Wagon R LXI,2020120000,Petrol,Individual,Manual,First Owner,240000
Chevrolet Enjoy 1.3 TCDi LS 8,2015175000,Diesel,Individual,Manual,First Owner,300000
Chevrolet Spark 1.0 LS,2011100000,Petrol,Individual,Manual,Third Owner,99000
Honda City i VTEC SV,201436000,Petrol,Individual,Manual,First Owner,620000
Honda Amaze VX i-DTEC,201330000,Diesel,Individual,Manual,First Owner,500000
Jaguar XJ 5.0 L V8 Supercharged,201040000,Petrol,Individual,Automatic,Second Owner,2550000
Honda Brio E MT,201370000,Petrol,Individual,Manual,Second Owner,260000
Maruti Swift VVT ZXI,201760000,Petrol,Individual,Manual,First Owner,550000
Tata Indigo CR4,2011155500,Diesel,Individual,Manual,First Owner,150000
Hyundai i10 Asta AT,201150000,Petrol,Individual,Automatic,Second Owner,350000
Chevrolet Beat LT,201640000,Petrol,Individual,Manual,First Owner,320000
Maruti Swift VDI BSIV,2015100000,Diesel,Individual,Manual,Third Owner,400000
Maruti Alto LXi,201280000,Petrol,Individual,Manual,Third Owner,175000
Chevrolet Beat LT,201190000,Petrol,Individual,Manual,Second Owner,120000
Renault Duster 110PS Diesel RxZ,201390000,Diesel,Individual,Manual,Second Owner,320000
Hyundai Santro Xing XG,2006110000,Petrol,Individual,Manual,Third Owner,70000
Maruti Swift Dzire ZXI Plus,201915000,Petrol,Individual,Manual,First Owner,810000
Maruti 800 AC,2007100000,Petrol,Individual,Manual,Second Owner,95000
Maruti Alto K10 LXI CNG,202040000,CNG,Individual,Manual,First Owner,282000
Maruti 800 Std BSII,200460000,Petrol,Individual,Manual,Second Owner,80000
Tata Nano LX SE,201325000,Petrol,Individual,Manual,First Owner,72000
Hyundai i20 Magna 1.2,201625000,Petrol,Individual,Manual,First Owner,600000
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,201523000,Petrol,Individual,Manual,First Owner,640000
Maruti Alto K10 VXI,201822155,Petrol,Individual,Manual,First Owner,380000
Maruti Ciaz 1.4 Delta,201870000,Petrol,Individual,Manual,First Owner,650000
Maruti Alto LX,200960000,Petrol,Individual,Manual,Second Owner,150000
Hyundai i20 Asta,2009110000,Petrol,Individual,Manual,Second Owner,280000
Tata Nexon 1.2 Revotron XM,201830000,Petrol,Individual,Manual,First Owner,430000
Mahindra Bolero Power Plus SLX,201915000,Diesel,Individual,Manual,First Owner,800000
Maruti Zen D,2003100000,Diesel,Individual,Manual,Second Owner,75000
Volkswagen Vento Celeste 1.5 TDI Highline AT,201670000,Diesel,Individual,Automatic,First Owner,650000
Maruti Eeco 7 Seater Standard BSIV,201724000,Petrol,Individual,Manual,First Owner,390000
Honda City 1.5 EXI,2005120000,Petrol,Individual,Manual,Second Owner,100000
Mercedes-Benz New C-Class 220 CDI AT,201335000,Diesel,Individual,Automatic,First Owner,1500000
Maruti SX4 Zxi with Leather BSIII,200778380,Petrol,Individual,Manual,First Owner,175000
Renault Duster 110PS Diesel RxZ,2012110000,Diesel,Individual,Manual,Second Owner,434999
Ford Figo Diesel Titanium,201090000,Diesel,Individual,Manual,Third Owner,170000
Ford Figo Diesel Titanium,201190000,Diesel,Individual,Manual,Third Owner,190000
Maruti Swift Dzire VDi,2009150000,Diesel,Individual,Manual,Third Owner,250000
Mahindra Xylo E4,2009230000,Diesel,Individual,Manual,Third Owner,229999
Maruti Esteem Vxi - BSIII,200670000,Petrol,Individual,Manual,Third Owner,140000
Maruti Swift VDI BSIV,201780362,Diesel,Individual,Manual,First Owner,600000
Hyundai i20 1.2 Sportz,2012110000,Petrol,Individual,Manual,Third Owner,280000
Chevrolet Beat Diesel LT,201260000,Diesel,Individual,Manual,First Owner,150000
Chevrolet Cruze LTZ AT,201550000,Diesel,Individual,Automatic,First Owner,650000
Nissan Micra XL,201440000,Petrol,Individual,Manual,Second Owner,210000
BMW 5 Series 520d Luxury Line,201740000,Diesel,Individual,Automatic,First Owner,2900000
Chevrolet Enjoy 1.3 TCDi LS 8,201320000,Diesel,Dealer,Manual,First Owner,425000
Hyundai EON Era Plus Option,201455000,Petrol,Dealer,Manual,First Owner,265000
Fiat Linea T Jet Emotion,20181136,Petrol,Dealer,Manual,First Owner,890000
Renault Scala RxL,201355000,Petrol,Dealer,Manual,First Owner,365000
Ford Figo Petrol Titanium,201443000,Petrol,Dealer,Manual,First Owner,350000
Maruti Ciaz ZDi SHVS,201660000,Diesel,Individual,Manual,First Owner,685000
Skoda Rapid 1.5 TDI Ambition BSIV,20182650,Diesel,Dealer,Manual,First Owner,940000
Mahindra XUV500 W6 2WD,201740000,Diesel,Individual,Manual,First Owner,1000000
Mahindra XUV300 W8 Option,201915000,Petrol,Dealer,Manual,First Owner,1150000
Maruti Ertiga SHVS ZDI,2016115962,Diesel,Individual,Manual,Second Owner,450000
Nissan Terrano XE D,201565000,Diesel,Dealer,Manual,First Owner,590000
Maruti S-Cross Facelift,201740000,Diesel,Individual,Manual,First Owner,800000
Hyundai i20 Magna 1.4 CRDi (Diesel),201258000,Diesel,Dealer,Manual,First Owner,385000
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,201315000,Diesel,Individual,Automatic,First Owner,2000000
Hyundai EON Era Plus,201254000,Petrol,Dealer,Manual,First Owner,235000
Volkswagen Ameo 1.5 TDI Highline,201756000,Diesel,Dealer,Manual,First Owner,640000
Maruti Alto LX,2006120000,Petrol,Individual,Manual,Third Owner,52000
Maruti Omni LPG CARGO BSIII W IMMOBILISER,200990000,LPG,Individual,Manual,Second Owner,80000
Maruti Alto LX,201270000,Petrol,Individual,Manual,Second Owner,140000
Hyundai Verna i (Petrol),200890000,Petrol,Individual,Manual,Second Owner,120000
Mahindra Renault Logan 1.5 DLS,2008213000,Diesel,Individual,Manual,First Owner,89999
Chevrolet Optra Magnum 2.0 LS BSIII,2012120000,Diesel,Individual,Manual,First Owner,180000
Mahindra Scorpio S11 BSIV,201720000,Diesel,Individual,Manual,First Owner,1500000
Hyundai i20 Active 1.2 SX,201710000,Petrol,Individual,Manual,First Owner,700000
Maruti SX4 Celebration Diesel,201280000,Diesel,Individual,Manual,Second Owner,285000
Hyundai Grand i10 Magna,201590000,Petrol,Individual,Manual,First Owner,390000
Maruti Alto LXi BSIII,200880000,Petrol,Individual,Manual,First Owner,125000
Maruti SX4 Zxi with Leather BSIII,200860000,Petrol,Individual,Manual,Second Owner,225000
Hyundai i10 Era,2011139000,Petrol,Individual,Manual,Second Owner,175000
Toyota Innova 2.5 V Diesel 7-seater,2011160000,Diesel,Individual,Manual,Second Owner,1075000
Honda Mobilio V i DTEC,2014150000,Diesel,Individual,Manual,First Owner,300000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010163000,Diesel,Individual,Manual,Fourth & Above Owner,700000
Tata Indica V2 2001-2011 DLS BSIII,2009120000,Diesel,Dealer,Manual,First Owner,90000
Tata Indica Vista TDI LS,2011120000,Diesel,Individual,Manual,Second Owner,120000
Chevrolet Beat Diesel LS,2012100000,Diesel,Individual,Manual,Second Owner,220000
Tata Zest Quadrajet 1.3 75PS XE,2015140000,Diesel,Dealer,Manual,First Owner,300000
Skoda Fabia 1.2L Diesel Ambiente,201087000,Diesel,Dealer,Manual,Second Owner,180000
Maruti 800 Std,201370000,Petrol,Individual,Manual,First Owner,170000
Ford Figo Petrol Titanium,201550000,Petrol,Individual,Manual,Second Owner,300000
Toyota Innova 2.5 VX (Diesel) 8 Seater,201470000,Diesel,Individual,Manual,First Owner,1050000
Honda Mobilio V i DTEC,2014150000,Diesel,Individual,Manual,First Owner,300000
Hyundai Grand i10 1.2 CRDi Asta,201825000,Diesel,Individual,Manual,First Owner,465000
Chevrolet Beat Diesel LT,201180000,Diesel,Individual,Manual,Second Owner,130000
Datsun GO Plus T Option Petrol,201810000,Petrol,Individual,Manual,First Owner,434999
Hyundai Grand i10 1.2 Kappa Asta,201832000,Petrol,Individual,Manual,First Owner,500000
Maruti Omni MPI STD BSIV,201810000,Petrol,Individual,Manual,First Owner,200000
Maruti Baleno Alpha 1.2,201752000,Petrol,Dealer,Manual,First Owner,625000
Ford Fiesta Classic 1.4 SXI Duratorq,2006120000,Diesel,Individual,Manual,Third Owner,110000
Hyundai Elite i20 Asta Option BSIV,201911240,Petrol,Individual,Manual,First Owner,800000
Hyundai Grand i10 CRDi Magna,201766000,Diesel,Dealer,Manual,First Owner,490000
Maruti Ertiga SHVS ZDI,201764000,Diesel,Dealer,Manual,First Owner,880000
Hyundai Santro Xing GL Plus,201349000,Petrol,Individual,Manual,First Owner,290000
Tata Sumo GX TC 7 Str BSIII,2006100000,Diesel,Individual,Manual,Second Owner,115999
Renault KWID RXT,201826500,Petrol,Individual,Manual,First Owner,360000
Maruti 800 AC,2002100000,Petrol,Individual,Manual,Second Owner,65000
Maruti Vitara Brezza LDi Option,201772000,Diesel,Dealer,Manual,First Owner,685000
Honda Jazz S,200950000,Petrol,Individual,Manual,First Owner,300000
Hyundai i20 1.4 Sportz,201744000,Diesel,Dealer,Manual,First Owner,680000
Maruti Ertiga SHVS ZDI Plus,201760000,Diesel,Individual,Manual,Second Owner,1000000
Tata Sumo SE Plus BSIII,2002120000,Diesel,Individual,Manual,First Owner,100000
Mahindra Xylo E4,2010130000,Diesel,Individual,Manual,First Owner,160000
Maruti Swift ZDi BSIV,201770000,Diesel,Individual,Manual,First Owner,450000
Maruti Ertiga VXI,201420000,Petrol,Individual,Manual,First Owner,600000
Hyundai i20 1.4 Magna ABS,200960000,Diesel,Individual,Manual,Second Owner,180000
Maruti Alto LXi,2007195000,Petrol,Individual,Manual,First Owner,100000
Maruti Alto LXi,201090000,Petrol,Individual,Manual,Second Owner,120000
Hyundai Getz GL,200680000,Petrol,Individual,Manual,Third Owner,130000
Maruti Wagon R LX BS IV,2011155000,Petrol,Individual,Manual,First Owner,160000
Mahindra Bolero Power Plus SLX,201935000,Diesel,Individual,Manual,First Owner,860000
Hyundai i20 1.2 Spotz,201820000,Petrol,Individual,Manual,Second Owner,650000
Maruti Wagon R LXI Minor,201080000,Petrol,Individual,Manual,Second Owner,100000
Maruti Alto 800 VXI,201720000,Petrol,Individual,Manual,First Owner,282000
Hyundai i20 Asta (o),200950000,Petrol,Individual,Manual,First Owner,300000
Hyundai i20 Asta,2010110000,Petrol,Individual,Manual,Second Owner,270000
Hyundai Verna 1.6 SX CRDi (O),201329000,Diesel,Individual,Manual,First Owner,550000
Mahindra Xylo D2 BSIV,2013120000,Diesel,Individual,Manual,First Owner,450000
Mahindra Bolero SLX 2WD BSIII,201170000,Diesel,Individual,Manual,Second Owner,430000
Maruti Ertiga VXI ABS,201340000,Petrol,Individual,Manual,First Owner,350000
Honda Brio 1.2 E MT,201720000,Petrol,Individual,Manual,First Owner,350000
Toyota Etios Liva G,201350000,Petrol,Individual,Manual,Second Owner,229999
Maruti Alto 800 LXI,201350000,Petrol,Individual,Manual,First Owner,110000
Maruti Swift Dzire 1.2 Vxi BSIV,201249000,Petrol,Individual,Manual,Second Owner,395000
Mahindra Scorpio VLS AT 2.2 mHAWK,201170000,Diesel,Individual,Automatic,Second Owner,650000
Mahindra Bolero SLX,201190000,Diesel,Individual,Manual,Second Owner,350000
Mahindra XUV500 W11 Option AWD,202025000,Diesel,Dealer,Manual,First Owner,1400000
Tata Tiago 1.2 Revotron XZ,20184000,Petrol,Individual,Manual,First Owner,360000
Mahindra Marazzo M8 8Str,201810000,Diesel,Individual,Manual,First Owner,1300000
Renault Duster 110PS Diesel RxL,201515000,Diesel,Individual,Manual,First Owner,800000
Hyundai EON Magna Plus,201830000,Petrol,Individual,Manual,First Owner,229999
Maruti Wagon R VXI,201441000,Petrol,Dealer,Manual,First Owner,315000
Chevrolet Spark 1.0 LT,201228000,Petrol,Individual,Manual,First Owner,125000
Maruti Baleno Alpha,201916000,Petrol,Individual,Manual,First Owner,700000
Hyundai EON 1.0 Kappa Magna Plus,201570000,Petrol,Individual,Manual,First Owner,160000
Ford Figo Aspire 1.2 Ti-VCT Trend,201710832,Petrol,Dealer,Manual,First Owner,530000
Ford Figo Aspire Facelift,201814681,Diesel,Dealer,Manual,First Owner,624000
Hyundai i10 Era,200950000,Petrol,Individual,Manual,First Owner,250000
Mahindra Bolero SLX,201651000,Diesel,Dealer,Manual,First Owner,585000
Hyundai Verna 1.4 VTVT,201525000,Petrol,Individual,Manual,First Owner,500000
Chevrolet Sail 1.2 LT ABS,201430000,Petrol,Individual,Manual,First Owner,350000
Honda City i-DTEC SV,201480000,Diesel,Dealer,Manual,First Owner,495000
Hyundai Grand i10 1.2 Kappa Asta,201750000,Petrol,Individual,Manual,First Owner,500000
Mahindra Bolero Power Plus Plus AC BSIV PS,2015200000,Diesel,Individual,,First Owner,430000
Hyundai Grand i10 1.2 Kappa Sportz Option,201344000,Petrol,Dealer,,First Owner,345000
Maruti Baleno Sigma 1.2,201510000,Petrol,Individual,,First Owner,500000
Tata Tiago 1.2 Revotron XZ,201919600,Petrol,Individual,,First Owner,425000
Maruti Wagon R LXI,200540000,Petrol,Individual,,Second Owner,80000
Chevrolet Beat Diesel LS,201150000,Diesel,Individual,,First Owner,106000
Maruti A-Star Vxi,200946730,Petrol,Individual,,First Owner,180000
Datsun GO A,201540000,Petrol,Individual,,Second Owner,250000
Skoda Yeti Ambition 4WD,201180000,Diesel,Individual,,First Owner,350000
Maruti Zen LXi BSII,200280000,Petrol,Individual,,Second Owner,60000
Hyundai Verna CRDi 1.6 EX,201824000,Diesel,Individual,,First Owner,900000
Ford Aspire Titanium Diesel BSIV,201721170,Diesel,Dealer,,First Owner,700000
BMW 3 Series 320d Sport,2013167223,Diesel,Dealer,,First Owner,2000000
Maruti Ertiga SHVS ZDI Plus,201740000,Diesel,Individual,,First Owner,1000000
BMW X1 sDrive 20d Exclusive,201160000,Diesel,Individual,,First Owner,1375000
Toyota Innova Crysta 2.4 VX MT,2016141440,Diesel,Dealer,,First Owner,1800000
